Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
1865,73878.22448979592,0.038834951456310676,0.6666666666666666,0.02,98,-0.26531251398147737
1866,73868.65168539326,0.038834951456310676,0.6666666666666666,0.02,89,-0.26531251398147737
1867,73845.25316455697,0.0196078431372549,0.5,0.01,79,-0.28453962230053315
1868,73832.66666666667,0.0196078431372549,0.5,0.01,69,-0.28453962230053315
1869,73779.59322033898,0,0.0,0.0,59,-0.30414746543778803
1870,1065.438775510204,0,0,0.0,98,-0.30414746543778803
1871,1076.5056179775281,0,0,0.0,89,-0.30414746543778803
1872,1089.5189873417721,0,0,0.0,79,-0.30414746543778803
1873,1105.072463768116,0,0,0.0,69,-0.30414746543778803
1874,1111.9661016949153,0,0,0.0,59,-0.30414746543778803
1875,106862.11111111111,0.056074766355140186,0.42857142857142855,0.03,99,-0.24807269908264784
1876,106848.21111111112,0.056074766355140186,0.42857142857142855,0.03,90,-0.24807269908264784
1877,106819.725,0.03773584905660377,0.3333333333333333,0.02,80,-0.26641161638118427
1878,106798.07142857143,0.03773584905660377,0.3333333333333333,0.02,70,-0.26641161638118427
1879,106709.11666666667,0.019230769230769232,0.25,0.01,60,-0.2849166962070188
1880,94045.42424242424,0,0.0,0.0,99,-0.30414746543778803
1881,94039.66666666667,0,0.0,0.0,90,-0.30414746543778803
1882,94021.575,0,0.0,0.0,80,-0.30414746543778803
1883,94002.71428571429,0,0.0,0.0,70,-0.30414746543778803
1884,93938.13333333333,0,0.0,0.0,60,-0.30414746543778803
1885,65590.80612244898,0,0.0,0.0,98,-0.30414746543778803
1886,65582.65168539326,0,0.0,0.0,89,-0.30414746543778803
1887,65565.41772151898,0,0.0,0.0,79,-0.30414746543778803
1888,65549.34782608696,0,0.0,0.0,69,-0.30414746543778803
1889,65496.06779661017,0,0.0,0.0,59,-0.30414746543778803
1890,998.1122448979592,0,0,0.0,98,-0.30414746543778803
1891,1002.370786516854,0,0,0.0,89,-0.30414746543778803
1892,1008.2405063291139,0,0,0.0,79,-0.30414746543778803
1893,1015.8115942028985,0,0,0.0,69,-0.30414746543778803
1894,1013.9491525423729,0,0,0.0,59,-0.30414746543778803
1895,94045.42424242424,0,0.0,0.0,99,-0.30414746543778803
1896,94039.66666666667,0,0.0,0.0,90,-0.30414746543778803
1897,94021.575,0,0.0,0.0,80,-0.30414746543778803
1898,94002.71428571429,0,0.0,0.0,70,-0.30414746543778803
1899,93938.13333333333,0,0.0,0.0,60,-0.30414746543778803
1900,170722.75757575757,0.8615384615384616,0.8842105263157894,0.84,99,0.5573909961006736
1901,170634.36666666667,0.8128342245989306,0.8735632183908046,0.76,90,0.5086867591611426
1902,170458.7875,0.7597765363128492,0.8607594936708861,0.68,80,0.4556290708750612
1903,170223.9,0.7100591715976331,0.8695652173913043,0.6,70,0.40591170615984506
1904,170056.46666666667,0.6289308176100629,0.847457627118644,0.5,60,0.32478335217227483
1905,108569.60204081633,0.6250000000000001,0.7236842105263158,0.55,98,0.3208525345622121
1906,108515.37078651685,0.6352941176470589,0.7714285714285715,0.54,89,0.33114665220927086
1907,108419.70886075949,0.618181818181818,0.7846153846153846,0.51,79,0.31403435274403
1908,108293.91304347826,0.5732484076433121,0.7894736842105263,0.45,69,0.26910094220552405
1909,108196.72881355933,0.5234899328859061,0.7959183673469388,0.39,59,0.21934246744811803
1910,1452.3775510204082,0,0,0.0,98,-0.30414746543778803
1911,1495.3370786516855,0,0,0.0,89,-0.30414746543778803
1912,1536.4303797468353,0,0,0.0,79,-0.30414746543778803
1913,1575.840579710145,0,0,0.0,69,-0.30414746543778803
1914,1577.7796610169491,0,0,0.0,59,-0.30414746543778803
1915,170627.70707070708,0.8615384615384616,0.8842105263157894,0.84,99,0.5573909961006736
1916,170539.95555555556,0.8128342245989306,0.8735632183908046,0.76,90,0.5086867591611426
1917,170365.8,0.7597765363128492,0.8607594936708861,0.68,80,0.4556290708750612
1918,170131.4714285714,0.7100591715976331,0.8695652173913043,0.6,70,0.40591170615984506
1919,169971.25,0.6289308176100629,0.847457627118644,0.5,60,0.32478335217227483
1920,133516.2626262626,0.3353293413173653,0.417910447761194,0.28,99,0.03118187587957727
1921,133463.11111111112,0.3333333333333333,0.43548387096774194,0.27,90,0.02918586789554528
1922,133367.575,0.3184713375796178,0.43859649122807015,0.25,80,0.014323872141829785
1923,133253.7,0.27999999999999997,0.42,0.21,70,-0.024147465437788063
1924,133104.9,0.23776223776223776,0.3953488372093023,0.17,60,-0.06638522767555027
1925,90337.8163265306,0.19867549668874174,0.29411764705882354,0.15,98,-0.1054719687490463
1926,90305.84269662922,0.2040816326530612,0.3191489361702128,0.15,89,-0.10006583278472683
1927,90249.10126582278,0.19580419580419584,0.32558139534883723,0.14,79,-0.1083432696335922
1928,90179.91304347826,0.1751824817518248,0.32432432432432434,0.12,69,-0.12896498368596324
1929,90089.16949152542,0.16666666666666666,0.34375,0.11,59,-0.13748079877112138
1930,1417.142857142857,0,0,0.0,98,-0.30414746543778803
1931,1458.887640449438,0,0,0.0,89,-0.30414746543778803
1932,1497.8354430379748,0,0,0.0,79,-0.30414746543778803
1933,1534.159420289855,0,0,0.0,69,-0.30414746543778803
1934,1534.5254237288136,0,0,0.0,59,-0.30414746543778803
1935,133583.41414141413,0.3353293413173653,0.417910447761194,0.28,99,0.03118187587957727
1936,133527.2,0.3333333333333333,0.43548387096774194,0.27,90,0.02918586789554528
1937,133426.8375,0.3184713375796178,0.43859649122807015,0.25,80,0.014323872141829785
1938,133308.57142857142,0.27999999999999997,0.42,0.21,70,-0.024147465437788063
