Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
1201,554192.6888888889,0.3519163763066202,0.5804597701149425,0.2525,90,-0.038327526132404144
1202,553719.4375,0.32911392405063294,0.5947712418300654,0.2275,80,-0.061129978388391404
1203,551684.1857142857,0.3016759776536313,0.5912408759124088,0.2025,70,-0.08856792478539305
1204,550834.7333333333,0.2713178294573643,0.603448275862069,0.175,60,-0.11892607298166002
1205,188189.193877551,0.11956521739130435,0.21710526315789475,0.0825,98,-0.27067868504771997
1206,187948.04494382022,0.1213235294117647,0.22916666666666666,0.0825,89,-0.26892037302725963
1207,187866.93670886077,0.11089866156787763,0.23577235772357724,0.0725,79,-0.2793452408711467
1208,187346.6811594203,0.11001964636542241,0.25688073394495414,0.07,69,-0.2802242560736019
1209,187169.5593220339,0.10101010101010101,0.2631578947368421,0.0625,59,-0.28923380142892335
1210,14100.469387755102,0,0.0,0.0,98,-0.39024390243902435
1211,14772.269662921348,0,0.0,0.0,89,-0.39024390243902435
1212,15159.075949367088,0,0.0,0.0,79,-0.39024390243902435
1213,16447.72463768116,0,0.0,0.0,69,-0.39024390243902435
1214,17294.627118644068,0,0.0,0.0,59,-0.39024390243902435
1215,572262.1414141414,0.2972027972027972,0.4941860465116279,0.2125,99,-0.09304110523622716
1216,571162.2,0.2892857142857143,0.50625,0.2025,90,-0.10095818815331004
1217,570670.7,0.2587800369685767,0.49645390070921985,0.175,80,-0.13146386547044764
1218,568381.6,0.24714828897338403,0.5158730158730159,0.1625,70,-0.14309561346564031
1219,567552.05,0.21568627450980396,0.5,0.1375,60,-0.1745576279292204
1220,496246.3232323232,0.06378986866791746,0.12781954887218044,0.0425,99,-0.3264540337711069
1221,495627.5777777778,0.06500956022944551,0.13821138211382114,0.0425,90,-0.3252343422095788
1222,495514.9625,0.05522682445759369,0.1308411214953271,0.035,80,-0.33501707798143066
1223,494150.32857142854,0.056338028169014086,0.14432989690721648,0.035,70,-0.3339058742700103
1224,493837.8,0.05383022774327122,0.1566265060240964,0.0325,60,-0.3364136746957531
1225,169677.54081632654,0.04823747680890538,0.09352517985611511,0.0325,98,-0.34200642563011896
1226,169526.48314606742,0.049335863377609104,0.10236220472440945,0.0325,89,-0.34090803906141526
1227,169507.82278481012,0.039138943248532294,0.09009009009009009,0.025,79,-0.35110495919049206
1228,169188.02898550723,0.04000000000000001,0.1,0.025,69,-0.35024390243902437
1229,169103.7627118644,0.036885245901639344,0.10227272727272728,0.0225,59,-0.353358656537385
1230,13139.816326530612,0,0.0,0.0,98,-0.39024390243902435
1231,13760.831460674157,0,0.0,0.0,89,-0.39024390243902435
1232,14121.518987341773,0,0.0,0.0,79,-0.39024390243902435
1233,15309.27536231884,0,0.0,0.0,69,-0.39024390243902435
1234,16107.966101694916,0,0.0,0.0,59,-0.39024390243902435
1235,505362.23232323234,0.0782122905027933,0.15328467153284672,0.0525,99,-0.3120316119362311
1236,504762.0444444445,0.07954545454545456,0.1640625,0.0525,90,-0.3106984478935698
1237,504655.875,0.07421875000000001,0.16964285714285715,0.0475,80,-0.31602515243902435
1238,503296.2428571429,0.07569721115537849,0.18627450980392157,0.0475,70,-0.3145466912836459
1239,503013.43333333335,0.07770961145194273,0.21348314606741572,0.0475,60,-0.31253429098708163
1240,442714.1111111111,0.026974951830443163,0.058823529411764705,0.0175,99,-0.36326895060858116
1241,442206.0333333333,0.027504911591355603,0.06422018348623854,0.0175,90,-0.36273899084766875
1242,442165.0,0.02404809619238477,0.06060606060606061,0.015,80,-0.36619580624663955
1243,441089.8714285714,0.024640657084188913,0.06896551724137931,0.015,70,-0.36560324535483546
1244,440904.25,0.025263157894736838,0.08,0.015,60,-0.3649807445442875
1245,154679.2142857143,0.018832391713747645,0.03816793893129771,0.0125,98,-0.37141151072527673
1246,154570.92134831462,0.019193857965451058,0.04132231404958678,0.0125,89,-0.3710500444735733
1247,154570.58227848102,0.019723865877712028,0.04672897196261682,0.0125,79,-0.3705200365613123
1248,154348.08695652173,0.02012072434607646,0.05154639175257732,0.0125,69,-0.37012317809294787
1249,154310.28813559323,0.02066115702479339,0.05952380952380952,0.0125,59,-0.369582745414231
1250,12217.989795918367,0,0.0,0.0,98,-0.39024390243902435
1251,12793.202247191011,0,0.0,0.0,89,-0.39024390243902435
1252,13152.683544303798,0,0.0,0.0,79,-0.39024390243902435
1253,14251.666666666666,0,0.0,0.0,69,-0.39024390243902435
1254,14998.525423728814,0,0.0,0.0,59,-0.39024390243902435
1255,445965.2626262626,0.027290448343079924,0.061946902654867256,0.0175,99,-0.36295345409594443
1256,445426.3222222222,0.027777777777777776,0.0673076923076923,0.0175,90,-0.36246612466124656
1257,445390.3375,0.02434077079107505,0.06451612903225806,0.015,80,-0.3659031316479493
1258,444279.72857142857,0.024844720496894408,0.07228915662650602,0.015,70,-0.36539918194212995
1259,444098.93333333335,0.02536997885835095,0.0821917808219178,0.015,60,-0.3648739235806734
1260,409223.0303030303,0.022641509433962266,0.046153846153846156,0.015,99,-0.3676023930050621
1261,408759.14444444445,0.02330097087378641,0.05217391304347826,0.015,90,-0.36694293156523794
1262,408726.95,0.02004008016032064,0.050505050505050504,0.0125,80,-0.3702038222787037
1263,407769.14285714284,0.0205761316872428,0.05813953488372093,0.0125,70,-0.36966777075178153
1264,407604.13333333336,0.01702127659574468,0.05714285714285714,0.01,60,-0.37322262584327964
1265,145624.18367346938,0.01465201465201465,0.0273972602739726,0.01,98,-0.3755918877870097
1266,145534.32584269662,0.015094339622641508,0.03076923076923077,0.01,89,-0.37514956281638284
