current time: 2020-02-20 12:36:39.193072078 -0500 EST m=+55.595582812, image_size: 230400, latency: 632.078µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.198217583 -0500 EST m=+55.600728308, image_size: 230400, latency: 667.583µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.202983729 -0500 EST m=+55.605494461, image_size: 230400, latency: 653.729µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.207794976 -0500 EST m=+55.610305735, image_size: 230400, latency: 634.976µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.213444305 -0500 EST m=+55.615955057, image_size: 230400, latency: 704.305µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.218195772 -0500 EST m=+55.620706520, image_size: 230400, latency: 605.772µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.223379582 -0500 EST m=+55.625890331, image_size: 230400, latency: 579.582µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.228461043 -0500 EST m=+55.630971795, image_size: 230400, latency: 531.043µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.233421484 -0500 EST m=+55.635932234, image_size: 230400, latency: 511.484µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.237961598 -0500 EST m=+55.640472332, image_size: 230400, latency: 441.598µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.243037086 -0500 EST m=+55.645547824, image_size: 230400, latency: 747.086µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.250780313 -0500 EST m=+55.653291080, image_size: 230400, latency: 590.313µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.255816418 -0500 EST m=+55.658327184, image_size: 230400, latency: 446.418µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.260567447 -0500 EST m=+55.663078192, image_size: 230400, latency: 457.447µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.265283419 -0500 EST m=+55.667794204, image_size: 230400, latency: 533.419µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.269721229 -0500 EST m=+55.672231962, image_size: 230400, latency: 531.229µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.2749156 -0500 EST m=+55.677426364, image_size: 230400, latency: 475.6µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.280292253 -0500 EST m=+55.682803026, image_size: 230400, latency: 452.253µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.285072208 -0500 EST m=+55.687583057, image_size: 230400, latency: 562.208µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.290642853 -0500 EST m=+55.693153615, image_size: 230400, latency: 852.853µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.29596387 -0500 EST m=+55.698474619, image_size: 230400, latency: 453.87µs, accuracy: 0.341151
