current time: 2020-02-26 14:52:25.46012528 -0500 EST m=+33.781701738, image_size: 230400, latency: 1.56528ms, accuracy: 0.338983
current time: 2020-02-26 14:52:25.728759326 -0500 EST m=+34.050325453, image_size: 230400, latency: 399.326µs, accuracy: 0.338983
current time: 2020-02-26 14:52:25.992696012 -0500 EST m=+34.314262100, image_size: 230400, latency: 496.012µs, accuracy: 0.338983
current time: 2020-02-26 14:52:26.256249519 -0500 EST m=+34.577815648, image_size: 230400, latency: 1.759519ms, accuracy: 0.338983
current time: 2020-02-26 14:52:26.527812823 -0500 EST m=+34.849378936, image_size: 230400, latency: 802.823µs, accuracy: 0.338983
current time: 2020-02-26 14:52:26.787348148 -0500 EST m=+35.108914236, image_size: 230400, latency: 698.148µs, accuracy: 0.338983
current time: 2020-02-26 14:52:27.051319448 -0500 EST m=+35.372885565, image_size: 230400, latency: 629.448µs, accuracy: 0.338983
current time: 2020-02-26 14:52:27.326030793 -0500 EST m=+35.647596889, image_size: 230400, latency: 3.820793ms, accuracy: 0.338983
current time: 2020-02-26 14:52:27.577072855 -0500 EST m=+35.898639092, image_size: 230400, latency: 1.052855ms, accuracy: 0.338983
current time: 2020-02-26 14:52:27.874225871 -0500 EST m=+36.195791983, image_size: 230400, latency: 2.775871ms, accuracy: 0.338983
current time: 2020-02-26 14:52:28.167249324 -0500 EST m=+36.488815650, image_size: 230400, latency: 1.489324ms, accuracy: 0.338983
current time: 2020-02-26 14:52:28.456477704 -0500 EST m=+36.778043829, image_size: 230400, latency: 1.047704ms, accuracy: 0.338983
current time: 2020-02-26 14:52:28.725246933 -0500 EST m=+37.046813062, image_size: 230400, latency: 1.036933ms, accuracy: 0.338983
current time: 2020-02-26 14:52:28.990715177 -0500 EST m=+37.312281444, image_size: 230400, latency: 1.255177ms, accuracy: 0.338983
current time: 2020-02-26 14:52:29.265140224 -0500 EST m=+37.586706371, image_size: 230400, latency: 990.224µs, accuracy: 0.338983
current time: 2020-02-26 14:52:29.527783214 -0500 EST m=+37.849349493, image_size: 230400, latency: 1.423214ms, accuracy: 0.338983
