Combo #,Median Image Size,F1 Score, Precision, Recall, Image Count
102,1035612.9875,0.3461538461538462,0.21568627450980393,0.8761061946902655,80
103,1035831.5,0.3522504892367906,0.21897810218978103,0.9,70
104,1036342.6333333333,0.34862385321100914,0.21652421652421652,0.8941176470588236,60
105,239671.61224489796,0.18631178707224336,0.10687022900763359,0.725925925925926,98
106,239687.5617977528,0.18614270941054809,0.10676156583629894,0.7258064516129032,89
107,239729.3670886076,0.18626309662398136,0.10695187165775401,0.7207207207207207,79
108,239763.4927536232,0.19072847682119207,0.1095890410958904,0.7346938775510204,69
109,239821.86440677967,0.187207488299532,0.10752688172043011,0.7228915662650602,59
110,14363.142857142857,0.42577030812324934,0.34234234234234234,0.562962962962963,98
111,14294.292134831461,0.4146341463414634,0.3333333333333333,0.5483870967741935,89
112,14220.012658227848,0.3972602739726027,0.32044198895027626,0.5225225225225225,79
113,14181.579710144928,0.41434262948207173,0.33986928104575165,0.5306122448979592,69
114,14083.610169491525,0.4190476190476191,0.3464566929133858,0.5301204819277109,59
115,2869813.707070707,0.32432432432432434,0.20141342756183744,0.8321167883211679,99
116,2878156.2333333334,0.3229813664596273,0.20077220077220076,0.8253968253968254,90
117,2881832.85,0.3194444444444445,0.19870410367170627,0.8141592920353983,80
118,2881901.5714285714,0.3340040241448692,0.20906801007556675,0.83,70
119,2883248.15,0.32380952380952377,0.20298507462686566,0.8,60
120,1717643.5656565656,0.3153745072273325,0.19230769230769232,0.8759124087591241,99
121,1718622.5555555555,0.31428571428571433,0.1916376306620209,0.873015873015873,90
122,1719394.7625,0.3154471544715447,0.19322709163346613,0.8584070796460177,80
123,1719853.7142857143,0.3211678832116788,0.19642857142857142,0.88,70
124,1720415.9166666667,0.3191489361702128,0.19480519480519481,0.8823529411764706,60
125,216979.5,0.23500611995104043,0.14076246334310852,0.7111111111111111,98
126,216986.93258426967,0.23466666666666666,0.14057507987220447,0.7096774193548387,89
127,217019.06329113923,0.23318385650224216,0.13978494623655913,0.7027027027027027,79
128,217038.91304347827,0.24149659863945577,0.14489795918367346,0.7244897959183674,69
129,217056.9661016949,0.23952095808383234,0.14354066985645933,0.7228915662650602,59
130,13689.857142857143,0.4157894736842105,0.3224489795918367,0.5851851851851851,98
131,13626.370786516854,0.4068767908309456,0.31555555555555553,0.5725806451612904,89
132,13547.506329113925,0.3910256410256411,0.3034825870646766,0.5495495495495496,79
133,13514.391304347826,0.4059040590405904,0.3179190751445087,0.5612244897959183,69
134,13422.101694915254,0.40174672489082974,0.3150684931506849,0.5542168674698795,59
135,1823391.6464646466,0.39636363636363625,0.2639225181598063,0.7956204379562044,99
136,1824391.8111111112,0.3952569169960474,0.2631578947368421,0.7936507936507936,90
137,1825204.0625,0.3982102908277405,0.26646706586826346,0.7876106194690266,80
138,1825544.6857142858,0.4213197969543147,0.282312925170068,0.83,70
139,1826088.3833333333,0.42136498516320475,0.28174603174603174,0.8352941176470589,60
140,1372860.1414141415,0.3380281690140845,0.2094240837696335,0.8759124087591241,99
141,1373166.5555555555,0.33898305084745767,0.21032504780114722,0.873015873015873,90
142,1373562.025,0.3368055555555556,0.20950323974082075,0.8584070796460177,80
143,1373841.8,0.350597609561753,0.21890547263681592,0.88,70
144,1374102.6,0.34823529411764703,0.21764705882352942,0.8705882352941177,60
145,192604.1326530612,0.1798631476050831,0.1036036036036036,0.6814814814814815,98
146,192606.2584269663,0.18025751072961374,0.10396039603960396,0.6774193548387096,89
147,192604.84810126582,0.17548076923076925,0.10124826629680998,0.6576576576576577,79
148,192617.27536231885,0.18131868131868134,0.10476190476190476,0.673469387755102,69
149,192615.83050847458,0.17684887459807072,0.10204081632653061,0.6626506024096386,59
150,13108.622448979591,0.4380403458213256,0.3584905660377358,0.562962962962963,98
151,13046.033707865168,0.42902208201892744,0.35233160621761656,0.5483870967741935,89
152,12965.367088607594,0.4128113879003559,0.3411764705882353,0.5225225225225225,79
153,12930.289855072464,0.42276422764227645,0.35135135135135137,0.5306122448979592,69
154,12828.627118644068,0.40566037735849053,0.3333333333333333,0.5180722891566265,59
155,1430264.0909090908,0.3190546528803545,0.2,0.7883211678832117,99
156,1430644.4777777777,0.31987075928917613,0.20081135902636918,0.7857142857142857,90
157,1431054.475,0.31484794275491945,0.19730941704035873,0.7787610619469026,80
158,1431170.3,0.32989690721649484,0.2077922077922078,0.8,70
159,1431775.0166666666,0.3374083129584352,0.21296296296296297,0.8117647058823529,60
160,1232962.383838384,0.28263473053892213,0.16905444126074498,0.8613138686131386,99
161,1233110.3333333333,0.2853368560105681,0.17115689381933438,0.8571428571428571,90
162,1233369.0875,0.2818991097922849,0.16934046345811052,0.8407079646017699,80
163,1233625.1142857142,0.2876254180602007,0.17269076305220885,0.86,70
164,1233811.45,0.2807692307692308,0.167816091954023,0.8588235294117647,60
