Combo #,Median Image Size,F1 Score, Precision, Recall, Image Count
1669,147882.93220338982,0.010638297872340425,0.014285714285714285,0.00847457627118644,59
1670,5117.397959183673,0.019277108433734938,0.17391304347826086,0.01020408163265306,98
1671,5100.2808988764045,0.015957446808510637,0.15,0.008426966292134831,89
1672,5069.278481012659,0.011940298507462685,0.10526315789473684,0.006329113924050633,79
1673,5174.31884057971,0.013651877133105802,0.11764705882352941,0.007246376811594203,69
1674,5200.186440677966,0.01606425702811245,0.15384615384615385,0.00847457627118644,59
1675,230313.41414141413,0.09741248097412482,0.12260536398467432,0.08080808080808081,99
1676,230335.56666666668,0.09900990099009901,0.12195121951219512,0.08333333333333333,90
1677,230357.45,0.10294117647058823,0.125,0.0875,80
1678,230354.08571428573,0.09623430962343096,0.11616161616161616,0.08214285714285714,70
1679,230357.21666666667,0.10243902439024391,0.12352941176470589,0.0875,60
1680,172310.69696969696,0.05737704918032786,0.0625,0.05303030303030303,99
1681,172304.9,0.05705705705705705,0.06209150326797386,0.05277777777777778,90
1682,172307.3,0.060504201680672276,0.06545454545454546,0.05625,80
1683,172296.98571428572,0.05769230769230769,0.0625,0.05357142857142857,70
1684,172325.03333333333,0.05357142857142857,0.057692307692307696,0.05,60
1685,120780.70408163265,0.0,0.0,0.0,98
1686,120781.60674157304,0.0,0.0,0.0,89
1687,120782.01265822785,0.0,0.0,0.0,79
1688,120794.59420289854,0.0,0.0,0.0,69
1689,120786.05084745762,0.0,0.0,0.0,59
1690,3717.8979591836733,0.0,0,0.0,98
1691,3709.9438202247193,0.0,0,0.0,89
1692,3667.8101265822784,0.0,0,0.0,79
1693,3754.5072463768115,0.0,0,0.0,69
1694,3776.2033898305085,0.0,0,0.0,59
1695,175067.62626262626,0.041791044776119404,0.051094890510948905,0.03535353535353535,99
1696,175054.16666666666,0.03618421052631579,0.04435483870967742,0.030555555555555555,90
1697,175062.8625,0.03696857670979667,0.04524886877828054,0.03125,80
1698,175055.67142857143,0.025531914893617023,0.031578947368421054,0.02142857142857143,70
1699,175084.31666666668,0.024813895781637715,0.03067484662576687,0.020833333333333332,60
1700,457684.0404040404,0.20072992700729927,0.3618421052631579,0.1388888888888889,99
1701,457778.85555555555,0.19639278557114226,0.35251798561151076,0.1361111111111111,90
1702,457853.525,0.18876404494382024,0.336,0.13125,80
1703,457892.84285714285,0.20618556701030927,0.37037037037037035,0.14285714285714285,70
1704,457848.43333333335,0.18181818181818182,0.3333333333333333,0.125,60
1705,277929.9387755102,0.004914004914004914,0.06666666666666667,0.002551020408163265,98
1706,277954.7528089888,0.005405405405405405,0.07142857142857142,0.0028089887640449437,89
1707,278003.2025316456,0.0061162079510703364,0.09090909090909091,0.0031645569620253164,79
1708,278007.6666666667,0.006968641114982578,0.09090909090909091,0.0036231884057971015,69
1709,277982.4576271186,0.008130081300813009,0.1,0.00423728813559322,59
1710,4913.530612244898,0.0,0.0,0.0,98
1711,4925.3258426966295,0.0,0.0,0.0,89
1712,4763.493670886076,0.0,0.0,0.0,79
1713,4904.68115942029,0.0,0.0,0.0,69
